,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
Black,0,0,0,0,0
Attendance,0.57,0.26,0.22,0.70,0.25
Born-Again,0,0,0,1,0
View of the Bible,0.74,0.60,0.39,0.90,0.57
Guidance from Religion,0.89,0.41,0.30,0.93,0.38
Moral Traditionalism ,0.66,0.53,0.39,0.76,0.63
Discrimination against Muslims,0.73,0.80,0.89,0.69,0.68
Discrimination against Christians,0.45,0.41,0.31,0.61,0.45
Thermometer- Christian Fundamentalists,0.53,0.56,0.12,0.73,0.45
Thermometer - Pope,0.84,0.83,0.72,0.61,0.58
Thermometer - Muslims,0.56,0.76,0.70,0.47,0.39
Thermometer - Jews,0.72,0.86,0.77,0.75,0.55
Thermometer - Christians,0.84,0.85,0.49,0.92,0.63
